words,pos,chunk,labels,sentence_id
in,_,O,O,553
the,_,O,O,553
‘,_,O,O,553
dark,_,O,O,553
net,_,O,O,553
’,_,O,O,553
and,_,O,O,553
cryptocurrencies,_,O,O,553
’,_,O,O,553
effect,_,O,O,553
on,_,O,O,553
inflation,_,O,O,553
and,_,O,O,553
deflation,_,O,O,553
.,_,O,O,553
©,_,O,O,553
2016,_,O,O,553
",",_,O,O,553
Springer,_,O,O,553
Science,_,O,O,553
=+,_,O,O,553
Business,_,O,O,553
Media,_,O,O,553
Dordrecht,_,O,O,553
.,_,O,O,553
This,_,O,O,554
study,_,O,O,554
examines,_,O,O,554
the,_,O,O,554
efficiency,_,O,O,554
of,_,O,O,554
tools,_,O,O,554
for,_,O,O,554
fighting,_,O,O,554
software,_,O,O,554
piracy,_,O,O,554
in,_,O,O,554
the,_,O,O,554
conditional,_,O,B-THE,554
distributions,_,O,I-THE,554
of,_,O,I-THE,554
software,_,O,I-THE,554
piracy,_,O,I-THE,554
.,_,O,O,554
Our,_,O,O,555
paper,_,O,O,555
examines,_,O,O,555
software,_,O,B-THE,555
piracy,_,O,I-THE,555
in,_,O,O,555
99,_,O,O,555
countries,_,O,O,555
over,_,O,O,555
the,_,O,O,555
period,_,O,O,555
1994,_,O,O,555
–,_,O,O,555
2010,_,O,O,555
",",_,O,O,555
using,_,O,O,555
contemporary,_,O,B-THE,555
and,_,O,I-THE,555
non-contemporary,_,O,I-THE,555
quantile,_,O,I-THE,555
regressions,_,O,I-THE,555
.,_,O,O,555
The,_,O,O,556
intuition,_,O,O,556
for,_,O,O,556
modelling,_,O,O,556
distributions,_,O,O,556
contingent,_,O,O,556
on,_,O,O,556
existing,_,O,O,556
levels,_,O,O,556
of,_,O,O,556
software,_,O,O,556
piracy,_,O,O,556
is,_,O,O,556
that,_,O,O,556
the,_,O,O,556
effectiveness,_,O,O,556
of,_,O,O,556
tools,_,O,B-THE,556
against,_,O,O,556
piracy,_,O,O,556
may,_,O,O,556
consistently,_,O,O,556
decrease,_,O,O,556
or,_,O,O,556
increase,_,O,O,556
simultaneously,_,O,O,556
with,_,O,O,556
the,_,O,O,556
increasing,_,O,O,556
levels,_,O,O,556
of,_,O,O,556
software,_,O,B-THE,556
piracy,_,O,I-THE,556
.,_,O,O,556
Hence,_,O,O,557
",",_,O,O,557
blanket,_,O,B-THE,557
policies,_,O,I-THE,557
against,_,O,O,557
software,_,O,O,557
piracy,_,O,O,557
are,_,O,O,557
unlikely,_,O,O,557
to,_,O,O,557
succeed,_,O,O,557
unless,_,O,O,557
they,_,O,O,557
are,_,O,O,557
contingent,_,O,O,557
on,_,O,O,557
initial,_,O,O,557
levels,_,O,O,557
of,_,O,O,557
software,_,O,O,557
piracy,_,O,O,557
and,_,O,O,557
tailored,_,O,O,557
differently,_,O,O,557
across,_,O,O,557
countries,_,O,O,557
with,_,O,O,557
low,_,O,O,557
",",_,O,O,557
medium,_,O,O,557
and,_,O,O,557
high,_,O,O,557
levels,_,O,O,557
of,_,O,O,557
software,_,O,O,557
piracy,_,O,O,557
.,_,O,O,557
Our,_,O,O,558
findings,_,O,O,558
indicate,_,O,O,558
that,_,O,O,558
GDP,_,O,B-THE,558
per,_,O,I-THE,558
capita,_,O,I-THE,558
",",_,O,O,558
research,_,O,B-THE,558
and,_,O,I-THE,558
development,_,O,I-THE,558
expenditure,_,O,I-THE,558
",",_,O,O,558
main,_,O,O,558
intellectual,_,O,B-THE,558
property,_,O,I-THE,558
laws,_,O,I-THE,558
",",_,O,O,558
multilateral,_,O,B-THE,558
treaties,_,O,I-THE,558
",",_,O,O,558
bilateral,_,O,B-THE,558
treaties,_,O,I-THE,558
",",_,O,O,558
World,_,O,B-THE,558
Intellectual,_,O,I-THE,558
Property,_,O,I-THE,558
Organisation,_,O,I-THE,558
treaties,_,O,I-THE,558
",",_,O,O,558
money,_,O,B-THE,558
supply,_,O,O,558
and,_,O,O,558
respect,_,O,B-THE,558
for,_,O,O,558
the,_,O,O,558
rule,_,O,O,558
of,_,O,O,558
law,_,O,O,558
have,_,O,O,558
negative,_,O,O,558
effects,_,O,O,558
on,_,O,O,558
software,_,O,O,558
piracy,_,O,O,558
.,_,O,O,558
Equitably,_,O,O,559
distributed,_,O,O,559
wealth,_,O,O,559
reduces,_,O,O,559
software,_,O,O,559
piracy,_,O,O,559
",",_,O,O,559
and,_,O,O,559
the,_,O,O,559
tendency,_,O,O,559
not,_,O,O,559
to,_,O,O,559
indulge,_,O,O,559
in,_,O,O,559
software,_,O,O,559
piracy,_,O,O,559
because,_,O,O,559
of,_,O,O,559
equitably,_,O,O,559
distributed,_,O,O,559
wealth,_,O,O,559
increases,_,O,O,559
with,_,O,O,559
the,_,O,O,559
increasing,_,O,O,559
software,_,O,O,559
piracy,_,O,O,559
levels,_,O,O,559
.,_,O,O,559
Hence,_,O,O,560
",",_,O,O,560
the,_,O,O,560
negative,_,O,O,560
degree,_,O,O,560
of,_,O,O,560
responsiveness,_,O,B-THE,560
of,_,O,O,560
software,_,O,B-THE,560
piracy,_,O,I-THE,560
to,_,O,O,560
changes,_,O,O,560
in,_,O,O,560
income,_,O,O,560
levels,_,O,O,560
is,_,O,O,560
an,_,O,O,560
increasing,_,O,O,560
function,_,O,O,560
of,_,O,O,560
software,_,O,O,560
piracy,_,O,O,560
.,_,O,O,560
Moreover,_,O,O,561
",",_,O,O,561
the,_,O,O,561
relationships,_,O,O,561
between,_,O,O,561
policy,_,O,B-THE,561
instruments,_,O,I-THE,561
and,_,O,O,561
software,_,O,O,561
piracy,_,O,O,561
display,_,O,O,561
various,_,O,O,561
patterns,_,O,O,561
:,_,O,O,561
U-shape,_,O,B-THE,561
",",_,O,I-THE,561
Kuznets-shape,_,O,B-THE,561
",",_,O,I-THE,561
S-shape,_,O,B-THE,561
and,_,O,I-THE,561
negative,_,O,I-THE,561
thresholds,_,O,I-THE,561
.,_,O,O,561
A,_,O,O,562
negative,_,O,B-THE,562
threshold,_,O,I-THE,562
represents,_,O,O,562
negative,_,O,O,562
estimates,_,O,O,562
with,_,O,O,562
the,_,O,O,562
increasing,_,O,O,562
negative,_,O,B-THE,562
magnitude,_,O,I-THE,562
throughout,_,O,O,562
the,_,O,O,562
conditional,_,O,O,562
distributions,_,O,O,562
of,_,O,O,562
software,_,O,O,562
piracy,_,O,O,562
.,_,O,O,562
We,_,O,O,563
also,_,O,O,563
discuss,_,O,O,563
the,_,O,O,563
policy,_,O,O,563
implications,_,O,O,563
of,_,O,O,563
our,_,O,O,563
study,_,O,O,563
.,_,O,O,563
©,_,O,O,563
2016,_,O,O,563
",",_,O,O,563
Springer,_,O,O,563
Science,_,O,O,563
=+,_,O,O,563
Business,_,O,O,563
Media,_,O,O,563
Dordrecht,_,O,O,563
.,_,O,O,563
Debates,_,O,O,564
around,_,O,O,564
sound,_,O,O,564
corporate,_,O,B-THE,564
governance,_,O,I-THE,564
propose,_,O,O,564
board,_,O,B-THE,564
diversity,_,O,I-THE,564
as,_,O,O,564
a,_,O,O,564
key,_,O,O,564
attribute,_,O,O,564
to,_,O,O,564
sufficiently,_,O,O,564
challenge,_,O,O,564
executive,_,O,O,564
management,_,O,O,564
for,_,O,O,564
stakeholder,_,O,O,564
engagement,_,O,O,564
.,_,O,O,564
This,_,O,O,565
study,_,O,O,565
contributes,_,O,O,565
to,_,O,O,565
this,_,O,O,565
debate,_,O,O,565
by,_,O,O,565
empirically,_,O,O,565
investigating,_,O,O,565
the,_,O,O,565
effect,_,O,O,565
of,_,O,O,565
board,_,O,O,565
diversity,_,O,O,565
on,_,O,O,565
corporate,_,O,B-THE,565
social,_,O,I-THE,565
disclosure,_,O,I-THE,565
(,_,O,O,565
CSD,_,O,O,565
),_,O,O,565
of,_,O,O,565
Vietnamese,_,O,O,565
listed,_,O,O,565
firms,_,O,O,565
.,_,O,O,565
The,_,O,O,566
study,_,O,O,566
finds,_,O,O,566
a,_,O,O,566
significantly,_,O,O,566
positive,_,O,O,566
effect,_,O,O,566
of,_,O,O,566
diversity-in-boards,_,O,B-THE,566
(,_,O,O,566
dissimilarities,_,O,O,566
among,_,O,O,566
directors,_,O,O,566
within,_,O,O,566
a,_,O,O,566
board,_,O,O,566
",",_,O,O,566
i.e,_,O,O,566
.,_,O,O,566
",",_,O,O,566
demographic,_,O,B-THE,566
attributes,_,O,I-THE,566
of,_,O,I-THE,566
board,_,O,I-THE,566
members,_,O,I-THE,566
),_,O,O,566
on,_,O,O,566
CSD,_,O,B-THE,566
while,_,O,O,566
diversity-of-boards,_,O,O,566
(,_,O,O,566
dissimilarities,_,O,O,566
among,_,O,O,566
firm,_,O,O,566
boards,_,O,O,566
",",_,O,O,566
i.e,_,O,O,566
.,_,O,O,566
",",_,O,O,566
board,_,O,O,566
structure,_,O,O,566
),_,O,O,566
has,_,O,O,566
no,_,O,O,566
effect,_,O,O,566
on,_,O,O,566
CSD,_,O,B-THE,566
.,_,O,O,566
The,_,O,O,567
results,_,O,O,567
contribute,_,O,O,567
by,_,O,O,567
showing,_,O,O,567
that,_,O,O,567
a,_,O,O,567
single,_,O,O,567
theoretical,_,O,O,567
approach,_,O,O,567
can,_,O,O,567
provide,_,O,O,567
an,_,O,O,567
adequate,_,O,O,567
explanation,_,O,O,567
for,_,O,O,567
board,_,O,O,567
diversity,_,O,O,567
.,_,O,O,567
The,_,O,O,568
study,_,O,O,568
contributes,_,O,O,568
methodologically,_,O,O,568
by,_,O,O,568
demonstrating,_,O,O,568
the,_,O,O,568
design,_,O,B-THE,568
and,_,O,I-THE,568
measurement,_,O,I-THE,568
of,_,O,I-THE,568
board,_,O,I-THE,568
diversity,_,O,I-THE,568
indices,_,O,I-THE,568
",",_,O,O,568
and,_,O,O,568
a,_,O,O,568
three-dimensional,_,O,B-THE,568
stakeholder-relevant,_,O,I-THE,568
CSD,_,O,I-THE,568
index,_,O,I-THE,568
.,_,O,O,568
The,_,O,O,569
findings,_,O,O,569
benefit,_,O,O,569
regulators,_,O,O,569
and,_,O,O,569
corporate,_,O,O,569
executives,_,O,O,569
in,_,O,O,569
better,_,O,O,569
understanding,_,O,O,569
firms,_,O,O,569
’,_,O,O,569
CSD,_,O,O,569
practices,_,O,O,569
and,_,O,O,569
stakeholders,_,O,O,569
’,_,O,O,569
expectations,_,O,O,569
.,_,O,O,569
©,_,O,O,569
2016,_,O,O,569
",",_,O,O,569
Springer,_,O,O,569
Science,_,O,O,569
=+,_,O,O,569
Business,_,O,O,569
Media,_,O,O,569
Dordrecht,_,O,O,569
.,_,O,O,569
This,_,O,O,570
study,_,O,O,570
examines,_,O,O,570
the,_,O,O,570
impact,_,O,O,570
of,_,O,O,570
mandatory,_,O,O,570
Corporate,_,O,B-THE,570
Social,_,O,I-THE,570
Responsibility,_,O,I-THE,570
(,_,O,O,570
CSR,_,O,B-THE,570
),_,O,O,570
reporting,_,O,I-THE,570
on,_,O,O,570
firms,_,O,O,570
’,_,O,O,570
financial,_,O,B-THE,570
reporting,_,O,I-THE,570
quality,_,O,I-THE,570
using,_,O,O,570
a,_,O,O,570
quasi-natural,_,O,B-THE,570
experiment,_,O,I-THE,570
in,_,O,O,570
China,_,O,O,570
that,_,O,O,570
mandates,_,O,O,570
a,_,O,O,570
subset,_,O,O,570
of,_,O,O,570
firms,_,O,O,570
to,_,O,O,570
report,_,O,O,570
their,_,O,O,570
CSR,_,O,O,570
activities,_,O,O,570
starting,_,O,O,570
in,_,O,O,570
2008,_,O,O,570
.,_,O,O,570
We,_,O,O,571
find,_,O,O,571
that,_,O,O,571
mandatory,_,O,O,571
CSR,_,O,B-THE,571
disclosure,_,O,I-THE,571
firms,_,O,O,571
constrain,_,O,O,571
earnings,_,O,O,571
management,_,O,O,571
after,_,O,O,571
the,_,O,O,571
policy,_,O,O,571
.,_,O,O,571
The,_,O,O,572
result,_,O,O,572
is,_,O,O,572
robust,_,O,O,572
to,_,O,O,572
a,_,O,O,572
battery,_,O,O,572
of,_,O,O,572
sensitivity,_,O,O,572
tests,_,O,O,572
and,_,O,O,572
more,_,O,O,572
prominent,_,O,O,572
for,_,O,O,572
firms,_,O,O,572
with,_,O,O,572
lower,_,O,O,572
analyst,_,O,O,572
coverage,_,O,O,572
.,_,O,O,572
Further,_,O,O,573
analyses,_,O,O,573
reveal,_,O,O,573
that,_,O,O,573
upward,_,O,B-THE,573
earnings,_,O,I-THE,573
management,_,O,I-THE,573
by,_,O,O,573
mandatory,_,O,O,573
disclosure,_,O,O,573
firms,_,O,O,573
is,_,O,O,573
more,_,O,O,573
likely,_,O,O,573
to,_,O,O,573
be,_,O,O,573
caught,_,O,O,573
after,_,O,O,573
the,_,O,O,573
policy,_,O,O,573
.,_,O,O,573
The,_,O,O,574
findings,_,O,O,574
suggest,_,O,O,574
that,_,O,O,574
mandatory,_,O,O,574
CSR,_,O,B-THE,574
disclosure,_,O,I-THE,574
mitigates,_,O,O,574
information,_,O,O,574
asymmetry,_,O,O,574
by,_,O,O,574
improving,_,O,O,574
financial,_,O,B-THE,574
reporting,_,O,I-THE,574
quality,_,O,O,574
.,_,O,O,574
©,_,O,O,574
2016,_,O,O,574
",",_,O,O,574
Springer,_,O,O,574
Science,_,O,O,574
=+,_,O,O,574
Business,_,O,O,574
Media,_,O,O,574
Dordrecht,_,O,O,574
.,_,O,O,574
Whilst,_,O,O,575
strategic,_,O,B-THE,575
alliance,_,O,I-THE,575
performance,_,O,I-THE,575
has,_,O,O,575
been,_,O,O,575
extensively,_,O,O,575
researched,_,O,O,575
through,_,O,O,575
the,_,O,O,575
resource-based,_,O,B-THE,575
lens,_,O,I-THE,575
",",_,O,O,575
it,_,O,O,575
has,_,O,O,575
yet,_,O,O,575
to,_,O,O,575
be,_,O,O,575
examined,_,O,O,575
under,_,O,O,575
the,_,O,O,575
natural-resource-based,_,O,B-THE,575
view,_,O,I-THE,575
(,_,O,O,575
NRBV,_,O,B-THE,575
),_,O,O,575
of,_,O,O,575
the,_,O,O,575
firm,_,O,O,575
.,_,O,O,575
Building,_,O,O,576
on,_,O,O,576
the,_,O,O,576
NRBV,_,O,B-THE,576
",",_,O,O,576
this,_,O,O,576
article,_,O,O,576
argues,_,O,O,576
that,_,O,O,576
a,_,O,O,576
firm,_,O,O,576
’,_,O,O,576
s,_,O,O,576
level,_,O,O,576
of,_,O,O,576
environmental,_,O,B-THE,576
proactiveness,_,O,I-THE,576
affects,_,O,O,576
its,_,O,O,576
level,_,O,O,576
of,_,O,O,576
alliance,_,O,O,576
satisfaction,_,O,O,576
.,_,O,O,576
The,_,O,O,577
argument,_,O,O,577
is,_,O,O,577
tested,_,O,O,577
by,_,O,O,577
surveying,_,O,O,577
Norwegian,_,O,O,577
CEOs,_,O,O,577
",",_,O,O,577
and,_,O,O,577
the,_,O,O,577
results,_,O,O,577
confirm,_,O,O,577
a,_,O,O,577
positive,_,O,O,577
relationship,_,O,O,577
.,_,O,O,577
Moreover,_,O,O,578
",",_,O,O,578
the,_,O,O,578
partner,_,O,O,578
’,_,O,O,578
s,_,O,O,578
environmental,_,O,B-THE,578
proactiveness,_,O,I-THE,578
equally,_,O,O,578
influences,_,O,O,578
the,_,O,O,578
focal,_,O,O,578
firm,_,O,O,578
’,_,O,O,578
s,_,O,O,578
satisfaction,_,O,O,578
with,_,O,O,578
the,_,O,O,578
alliance,_,O,O,578
",",_,O,O,578
in,_,O,O,578
consistent,_,O,O,578
with,_,O,O,578
related,_,O,O,578
studies,_,O,O,578
.,_,O,O,578
In,_,O,O,579
addition,_,O,O,579
to,_,O,O,579
providing,_,O,O,579
new,_,O,O,579
empirical,_,O,O,579
evidence,_,O,O,579
in,_,O,O,579
support,_,O,O,579
of,_,O,O,579
the,_,O,O,579
NRBV,_,O,O,579
",",_,O,O,579
and,_,O,O,579
extending,_,O,O,579
the,_,O,O,579
alliance,_,O,B-THE,579
performance,_,O,I-THE,579
literature,_,O,I-THE,579
",",_,O,O,579
the,_,O,O,579
findings,_,O,O,579
add,_,O,O,579
to,_,O,O,579
the,_,O,O,579
corporate,_,O,B-THE,579
environmentalism,_,O,I-THE,579
literature,_,O,O,579
by,_,O,O,579
offering,_,O,O,579
insights,_,O,O,579
on,_,O,O,579
the,_,O,O,579
virtues,_,O,O,579
of,_,O,O,579
green,_,O,B-THE,579
strategies,_,O,I-THE,579
in,_,O,O,579
an,_,O,O,579
underexplored,_,O,O,579
context,_,O,O,579
.,_,O,O,579
©,_,O,O,579
2016,_,O,O,579
",",_,O,O,579
Springer,_,O,O,579
Science,_,O,O,579
=+,_,O,O,579
Business,_,O,O,579
Media,_,O,O,579
Dordrecht,_,O,O,579
.,_,O,O,579
This,_,O,O,580
paper,_,O,O,580
investigates,_,O,O,580
whether,_,O,O,580
the,_,O,O,580
pattern,_,O,O,580
of,_,O,O,580
firms,_,O,O,580
’,_,O,O,580
corporate,_,O,B-THE,580
social,_,O,I-THE,580
responsibility,_,O,I-THE,580
(,_,O,O,580
CSR,_,O,B-THE,580
),_,O,O,580
activities,_,O,O,580
affects,_,O,O,580
firm,_,O,O,580
value,_,O,O,580
.,_,O,O,580
If,_,O,O,581
firms,_,O,O,581
do,_,O,O,581
permanently,_,O,O,581
CSR,_,O,B-THE,581
activities,_,O,I-THE,581
for,_,O,O,581
strategic,_,O,O,581
purposes,_,O,O,581
",",_,O,O,581
firms,_,O,O,581
’,_,O,O,581
value,_,O,O,581
is,_,O,O,581
more,_,O,O,581
likely,_,O,O,581
to,_,O,O,581
increase,_,O,O,581
.,_,O,O,581
Using,_,O,O,582
firms,_,O,O,582
known,_,O,O,582
to,_,O,O,582
do,_,O,O,582
CSR,_,O,O,582
in,_,O,O,582
Korea,_,O,O,582
",",_,O,O,582
we,_,O,O,582
examine,_,O,O,582
the,_,O,O,582
valuation,_,O,O,582
effect,_,O,O,582
by,_,O,O,582
adopting,_,O,O,582
an,_,O,O,582
earnings,_,O,B-THE,582
response,_,O,I-THE,582
coefficient,_,O,O,582
(,_,O,O,582
ERC,_,O,B-THE,582
),_,O,O,582
model,_,O,O,582
and,_,O,O,582
document,_,O,O,582
firms,_,O,O,582
with,_,O,O,582
permanent,_,O,O,582
CSR,_,O,O,582
activities,_,O,O,582
",",_,O,O,582
which,_,O,O,582
show,_,O,O,582
higher,_,O,O,582
ERCs,_,O,O,582
than,_,O,O,582
other,_,O,O,582
firms,_,O,O,582
regardless,_,O,O,582
of,_,O,O,582
the,_,O,O,582
level,_,O,O,582
of,_,O,O,582
CSR,_,O,B-THE,582
activities,_,O,I-THE,582
.,_,O,O,582
This,_,O,O,583
result,_,O,O,583
partly,_,O,O,583
explains,_,O,O,583
the,_,O,O,583
inconsistency,_,O,O,583
among,_,O,O,583
the,_,O,O,583
results,_,O,O,583
of,_,O,O,583
previous,_,O,O,583
studies,_,O,O,583
by,_,O,O,583
showing,_,O,O,583
the,_,O,O,583
differential,_,O,O,583
implication,_,O,O,583
for,_,O,O,583
firm,_,O,O,583
value,_,O,B-THE,583
depending,_,O,O,583
on,_,O,O,583
the,_,O,O,583
CSR,_,O,O,583
activity,_,O,O,583
pattern,_,O,O,583
.,_,O,O,583
Also,_,O,O,584
",",_,O,O,584
the,_,O,O,584
results,_,O,O,584
of,_,O,O,584
our,_,O,O,584
paper,_,O,O,584
imply,_,O,O,584
that,_,O,O,584
investors,_,O,O,584
need,_,O,O,584
to,_,O,O,584
consider,_,O,O,584
the,_,O,O,584
pattern,_,O,O,584
of,_,O,O,584
firms,_,O,O,584
’,_,O,O,584
CSR,_,O,O,584
activities,_,O,O,584
in,_,O,O,584
their,_,O,O,584
economic,_,O,B-THE,584
decision,_,O,I-THE,584
making,_,O,I-THE,584
.,_,O,O,584
©,_,O,O,584
2016,_,O,O,584
",",_,O,O,584
Springer,_,O,O,584
Science,_,O,O,584
=+,_,O,O,584
Business,_,O,O,584
Media,_,O,O,584
Dordrecht,_,O,O,584
.,_,O,O,584
In,_,O,O,585
recent,_,O,O,585
times,_,O,O,585
",",_,O,O,585
international,_,O,B-THE,585
comparative,_,O,I-THE,585
studies,_,O,I-THE,585
on,_,O,O,585
managers,_,O,O,585
’,_,O,O,585
beliefs,_,O,O,585
regarding,_,O,O,585
ethical,_,O,B-THE,585
/,_,O,I-THE,585
unethical,_,O,I-THE,585
leadership,_,O,I-THE,585
have,_,O,O,585
increased,_,O,O,585
in,_,O,O,585
number,_,O,O,585
.,_,O,O,585
These,_,O,O,586
studies,_,O,O,586
focus,_,O,O,586
on,_,O,O,586
both,_,O,O,586
Eastern,_,O,O,586
and,_,O,O,586
Western,_,O,O,586
countries,_,O,O,586
.,_,O,O,586
However,_,O,O,587
",",_,O,O,587
although,_,O,O,587
these,_,O,O,587
previous,_,O,O,587
studies,_,O,O,587
focused,_,O,O,587
on,_,O,O,587
the,_,O,O,587
effects,_,O,B-THE,587
of,_,O,I-THE,587
national,_,O,I-THE,587
culture,_,O,I-THE,587
",",_,O,O,587
they,_,O,O,587
did,_,O,O,587
not,_,O,O,587
pay,_,O,O,587
sufficient,_,O,O,587
attention,_,O,O,587
to,_,O,O,587
the,_,O,O,587
effects,_,O,B-THE,587
of,_,O,I-THE,587
institutions,_,O,I-THE,587
.,_,O,O,587
Moreover,_,O,O,588
",",_,O,O,588
these,_,O,O,588
studies,_,O,O,588
covered,_,O,O,588
only,_,O,O,588
a,_,O,O,588
few,_,O,O,588
countries,_,O,O,588
.,_,O,O,588
Despite,_,O,O,589
Japan,_,O,O,589
’,_,O,O,589
s,_,O,O,589
strong,_,O,O,589
influence,_,O,O,589
on,_,O,O,589
the,_,O,O,589
world,_,O,B-THE,589
economy,_,O,I-THE,589
",",_,O,O,589
it,_,O,O,589
has,_,O,O,589
not,_,O,O,589
been,_,O,O,589
included,_,O,O,589
in,_,O,O,589
previous,_,O,O,589
studies,_,O,O,589
on,_,O,O,589
ethical,_,O,B-THE,589
leadership,_,O,I-THE,589
.,_,O,O,589
Thus,_,O,O,590
",",_,O,O,590
to,_,O,O,590
reveal,_,O,O,590
unexplored,_,O,O,590
factors—particularly,_,O,B-THE,590
cultural,_,O,I-THE,590
and,_,O,O,590
institutional,_,O,B-THE,590
factors—and,_,O,I-THE,590
to,_,O,O,590
determine,_,O,O,590
the,_,O,O,590
generalizability,_,O,O,590
of,_,O,O,590
previous,_,O,O,590
findings,_,O,O,590
",",_,O,O,590
this,_,O,O,590
study,_,O,O,590
used,_,O,O,590
a,_,O,O,590
qualitative,_,O,B-THE,590
research,_,O,I-THE,590
method,_,O,I-THE,590
to,_,O,O,590
examine,_,O,O,590
Japanese,_,O,O,590
business,_,O,O,590
managers,_,O,O,590
’,_,O,O,590
beliefs,_,O,O,590
about,_,O,O,590
ethical,_,O,B-THE,590
/,_,O,I-THE,590
unethical,_,O,I-THE,590
leadership,_,O,I-THE,590
.,_,O,O,590
The,_,O,O,591
data,_,O,O,591
revealed,_,O,O,591
the,_,O,O,591
convergence,_,O,B-THE,591
and,_,O,O,591
divergence,_,O,B-THE,591
in,_,O,O,591
beliefs,_,O,O,591
regarding,_,O,O,591
ethical,_,O,O,591
/,_,O,O,591
unethical,_,O,O,591
leadership,_,O,O,591
between,_,O,O,591
managers,_,O,O,591
in,_,O,O,591
Japan,_,O,O,591
and,_,O,O,591
in,_,O,O,591
other,_,O,O,591
countries,_,O,O,591
.,_,O,O,591
The,_,O,O,592
analysis,_,O,O,592
identified,_,O,O,592
mostly,_,O,O,592
the,_,O,O,592
same,_,O,O,592
themes,_,O,O,592
of,_,O,O,592
ethical,_,O,O,592
/,_,O,O,592
unethical,_,O,O,592
leadership,_,O,O,592
as,_,O,O,592
found,_,O,O,592
in,_,O,O,592
other,_,O,O,592
countries,_,O,O,592
albeit,_,O,O,592
with,_,O,O,592
different,_,O,O,592
distributions,_,O,O,592
.,_,O,O,592
In,_,O,O,593
addition,_,O,O,593
",",_,O,O,593
We,_,O,O,593
identified,_,O,O,593
new,_,O,O,593
themes,_,O,O,593
that,_,O,O,593
may,_,O,O,593
be,_,O,O,593
specific,_,O,O,593
to,_,O,O,593
Japan,_,O,O,593
or,_,O,O,593
that,_,O,O,593
were,_,O,O,593
neglected,_,O,O,593
in,_,O,O,593
previous,_,O,O,593
studies,_,O,O,593
.,_,O,O,593
Moreover,_,O,O,594
",",_,O,O,594
this,_,O,O,594
study,_,O,O,594
suggests,_,O,O,594
the,_,O,O,594
necessity,_,O,O,594
of,_,O,O,594
considering,_,O,O,594
each,_,O,O,594
society,_,O,O,594
’,_,O,O,594
s,_,O,O,594
history,_,O,O,594
of,_,O,O,594
business,_,O,O,594
ethics,_,O,O,594
and,_,O,O,594
current,_,O,O,594
ethics-related,_,O,B-THE,594
institutional,_,O,I-THE,594
contexts,_,O,I-THE,594
in,_,O,O,594
ethical,_,O,O,594
/,_,O,O,594
unethical,_,O,B-THE,594
leadership,_,O,I-THE,594
studies,_,O,I-THE,594
.,_,O,O,594
©,_,O,O,594
2016,_,O,O,594
",",_,O,O,594
Springer,_,O,O,594
Science,_,O,O,594
=+,_,O,O,594
Business,_,O,O,594
Media,_,O,O,594
Dordrecht,_,O,O,594
.,_,O,O,594
Our,_,O,O,595
exploratory,_,O,O,595
study,_,O,O,595
considers,_,O,O,595
whether,_,O,O,595
the,_,O,O,595
internal,_,O,B-THE,595
audit,_,O,I-THE,595
function,_,O,I-THE,595
is,_,O,O,595
an,_,O,O,595
efficient,_,O,O,595
“,_,O,O,595
third,_,O,O,595
line,_,O,O,595
of,_,O,O,595
defense,_,O,O,595
”,_,O,O,595
for,_,O,O,595
risk,_,O,O,595
management,_,O,O,595
and,_,O,O,595
control,_,O,O,595
as,_,O,O,595
proposed,_,O,O,595
by,_,O,O,595
The,_,O,O,595
Institute,_,O,B-THE,595
of,_,O,I-THE,595
Internal,_,O,I-THE,595
Auditors,_,O,I-THE,595
.,_,O,O,595
To,_,O,O,596
that,_,O,O,596
end,_,O,O,596
",",_,O,O,596
we,_,O,O,596
interview,_,O,O,596
chief,_,O,B-THE,596
audit,_,O,I-THE,596
executives,_,O,I-THE,596
(,_,O,O,596
CAEs,_,O,O,596
),_,O,O,596
and,_,O,O,596
experienced,_,O,B-THE,596
internal,_,O,I-THE,596
auditors,_,O,I-THE,596
to,_,O,O,596
examine,_,O,O,596
whether,_,O,O,596
(,_,O,O,596
and,_,O,O,596
how,_,O,O,596
),_,O,O,596
CAEs,_,O,B-THE,596
manage,_,O,O,596
the,_,O,O,596
impressions,_,O,O,596
of,_,O,O,596
audit,_,O,O,596
committee,_,O,O,596
members,_,O,O,596
in,_,O,O,596
the,_,O,O,596
annual,_,O,B-THE,596
accountability,_,O,I-THE,596
process,_,O,I-THE,596
.,_,O,O,596
We,_,O,O,597
also,_,O,O,597
provide,_,O,O,597
an,_,O,O,597
illustration,_,O,O,597
of,_,O,O,597
impression,_,O,B-THE,597
management,_,O,I-THE,597
techniques,_,O,I-THE,597
through,_,O,O,597
a,_,O,O,597
documentary,_,O,B-THE,597
case,_,O,I-THE,597
that,_,O,O,597
explores,_,O,O,597
a,_,O,O,597
unique,_,O,O,597
and,_,O,O,597
exclusive,_,O,O,597
dataset,_,O,O,597
consisting,_,O,O,597
of,_,O,O,597
the,_,O,O,597
main,_,O,O,597
guidance,_,O,O,597
",",_,O,O,597
framework,_,O,O,597
",",_,O,O,597
and,_,O,O,597
accountability,_,O,O,597
documents,_,O,O,597
of,_,O,O,597
one,_,O,O,597
of,_,O,O,597
these,_,O,O,597
organizations,_,O,O,597
.,_,O,O,597
Our,_,O,O,598
analysis,_,O,O,598
highlights,_,O,O,598
how,_,O,O,598
several,_,O,O,598
macro,_,O,B-THE,598
=-,_,O,I-THE,598
and,_,O,O,598
microimpression,_,O,B-THE,598
management,_,O,I-THE,598
techniques,_,O,I-THE,598
were,_,O,O,598
